"","date","value"
"944",2010-05-16,0
"945",2010-05-17,0
"946",2010-05-18,0
"947",2010-05-19,0
"948",2010-05-20,0
"949",2010-05-21,0
"950",2010-05-22,0
"951",2010-05-23,17.1
"952",2010-05-24,0
"953",2010-05-25,0
"954",2010-05-26,0
"955",2010-05-27,0
"956",2010-05-28,0
"957",2010-05-29,10.3
"958",2010-05-30,0
"959",2010-05-31,0
"960",2010-06-01,0
"961",2010-06-02,0
"962",2010-06-03,0
"963",2010-06-04,0
"964",2010-06-05,0
"965",2010-06-06,0
"966",2010-06-07,0
"967",2010-06-08,0
"968",2010-06-09,0
"969",2010-06-10,0
"970",2010-06-11,0
"971",2010-06-12,0
"972",2010-06-13,0
"973",2010-06-14,0
"974",2010-06-15,0
"975",2010-06-16,0
"976",2010-06-17,0
"977",2010-06-18,0
"978",2010-06-19,0
"979",2010-06-20,0
"980",2010-06-21,0
"981",2010-06-22,0
"982",2010-06-23,0
"983",2010-06-24,0.4
"984",2010-06-25,0
"985",2010-06-26,0
"986",2010-06-27,0
"987",2010-06-28,0
"988",2010-06-29,0
"989",2010-06-30,0
"990",2010-07-01,0
"991",2010-07-02,0
"992",2010-07-03,0
"993",2010-07-04,0
"994",2010-07-05,0
"995",2010-07-06,0
"996",2010-07-07,0
"997",2010-07-08,0
"998",2010-07-09,0
"999",2010-07-10,0
"1000",2010-07-11,0
"1001",2010-07-12,0
"1002",2010-07-13,0
"1003",2010-07-14,0
"1004",2010-07-15,0
"1005",2010-07-16,0
"1006",2010-07-17,0
"1007",2010-07-18,0
"1008",2010-07-19,0
"1009",2010-07-20,0
"1010",2010-07-21,0
"1011",2010-07-22,0
"1012",2010-07-23,0
"1013",2010-07-24,0
"1014",2010-07-25,0
"1015",2010-07-26,0
"1016",2010-07-27,0
"1017",2010-07-28,0
"1018",2010-07-29,0
"1019",2010-07-30,0
"1020",2010-07-31,0
"1021",2010-08-01,0
"1022",2010-08-02,0
"1023",2010-08-03,4.1
"1024",2010-08-04,1.5
"1025",2010-08-05,0
"1026",2010-08-06,0
"1027",2010-08-07,0
"1028",2010-08-08,0
"1029",2010-08-09,0
"1030",2010-08-10,0
"1031",2010-08-11,0
"1032",2010-08-12,0
"1033",2010-08-13,0
"1034",2010-08-14,0
"1035",2010-08-15,0
"1036",2010-08-16,0
"1037",2010-08-17,0
"1038",2010-08-18,0
"1039",2010-08-19,0
"1040",2010-08-20,0
"1041",2010-08-21,0
"1042",2010-08-22,0
